Japanese,English,Reading
ヽ,repetition mark in katakana,ヽ
ヾ,voiced repetition mark in katakana,ヾ
ゝ,repetition mark in hiragana,ゝ
ゞ,voiced repetition mark in hiragana,ゞ
〃,ditto mark,おなじ
仝,"""as above"" mark",どうじょう
々,kanji repetition mark,のま
○,circle,まる
ＡＢＣ順,alphabetical order,エービーシーじゅん
ＣＤプレーヤー,CD player,シーディープレーヤー
Ｎ響,NHK Symphony Orchestra,エヌきょう
Ｏバック,O-back,オーバック
ＲＳ２３２ケーブル,rs232 cable,アールエスにさんにケーブル
Ｔシャツ,T-shirt,ティーシャツ
Ｔバック,T-back,ティーバック
あうんの呼吸,"the harmonizing, mentally and physically, of two parties engaged in an activity",あうんのこきゅう
あおば,(former) regular (stops at every station) Tōhoku-line Shinkansen,あおば
明白,obvious,めいはく
明白,plain,あからさま
明かん,useless,あかん
悪どい,gaudy,あくどい
論う,to discuss,あげつらう
あさひ,Jouetsu line express Shinkansen,あさひ
遇う,to treat,あしらう
馬酔木,Japanese andromeda (Pieris japonica),あせび
彼処,there,あそこ
